Time_h,Aeration_L/h,Sugar_feed_L/h,Acid_flow_L/h,Base_flow_L/h,WFI_dilution_L/h,Air_pressure_bar,Substrate_conc_g/L,DO_concentration_mg/L,Penicillin_conc_g/L,pH,Temperature_K,Oxygen_Uptake_Rate_g_min,Carbon_evol_rate_g/h
0.2,30.0,8.0,0.0,30.118,0.0,0.6,0.95749,14.711,1.0178000000000001e-25,6.4472,298.22,0.48051,0.034045
0.4,30.0,8.0,0.0,51.221,0.0,0.6,1.0046,14.699,0.001,6.4932,298.17,0.058147,0.038702
0.6,30.0,8.0,0.0,54.302,0.0,0.6,1.0498,14.686,0.00099934,6.5425,298.14,-0.041505,0.04024
0.8,30.0,8.0,0.0,37.816,0.0,0.6,1.0942,14.661,0.00099874,6.5753,298.11,-0.056737,0.041149
1.0,30.0,8.0,0.5181,18.908,0.0,0.6,1.137,14.633,0.00099821,6.5825,298.09,-0.049975,0.041951
1.2,30.0,8.0,1.0387,9.4541,0.0,0.6,1.1782,14.621,0.00099771,6.5717,298.08,-0.045267,0.042758
1.4,30.0,8.0,1.5604,4.727,0.0,0.6,1.2172,14.604,0.00099722,6.5521,298.07,-0.039369,0.043599
1.6,30.0,8.0,2.0823,2.3635,0.0,0.6,1.2544,14.583,0.00099674,6.5287,298.06,-0.031033,0.044478
1.8,30.0,8.0,0.0,0.0,0.0,0.6,1.2891,14.547,0.00099627,6.5061,298.06,-0.016025,0.045398
2.0,30.0,8.0,0.0,0.0,0.0,0.6,1.3218,14.529,0.0009958,6.4844,298.05,-0.0071831,0.046361
2.2,30.0,8.0,0.0,6.7741,0.0,0.6,1.3523,14.509,0.0009953,6.4728,298.05,0.00095122,0.047367
2.4,30.0,8.0,0.0,18.126,0.0,0.6,1.3804,14.496,0.00099477,6.4764,298.05,0.0054429,0.048418
2.6,30.0,8.0,0.0,28.037,0.0,0.6,1.406,14.462,0.00099421,6.4915,298.05,0.018177,0.049515
2.8,30.0,8.0,0.0,31.908,0.0,0.6,1.429,14.434,0.00099363,6.51,298.05,0.030167,0.050658
3.0,30.0,8.0,0.0,28.397,0.0,0.6,1.4495,14.408,0.00099306,6.5233,298.05,0.040673,0.05185
3.2,30.0,15.0,0.0,19.594,0.0,0.6,1.4813,14.372,0.00099251,6.5239,298.06,0.054921,0.053091
3.4,30.0,15.0,0.0,10.588,0.0,0.6,1.5099,14.326,0.00099198,6.5122,298.06,0.074225,0.054382
3.6,30.0,15.0,0.0,6.2774,0.0,0.6,1.5362,14.289,0.00099147,6.4945,298.06,0.091194,0.055722
3.8,30.0,15.0,0.0,9.0006,0.0,0.6,1.5601,14.254,0.00099095,6.4808,298.06,0.10584,0.057114
4.0,30.0,15.0,0.0,17.201,0.0,0.6,1.5812,14.213,0.00099039,6.4791,298.06,0.12264,0.058562
4.2,30.0,15.0,0.0,26.041,0.0,0.6,1.6269,14.168,0.00098981,6.4889,298.06,0.13701,0.060065
4.4,30.0,15.0,0.0,30.979,0.0,0.6,1.6703,14.13,0.00098922,6.5052,298.07,0.15252,0.061618
4.6,30.0,15.0,0.0,29.382,0.0,0.6,1.7103,14.083,0.00098863,6.5188,298.07,0.17099,0.063224
4.8,30.0,15.0,0.0,22.389,0.0,0.6,1.7475,14.049,0.00098806,6.5223,298.07,0.18465,0.064885
5.0,30.0,15.0,0.0,14.017,0.0,0.6,1.7819,14.003,0.00098753,6.5126,298.08,0.20142,0.066604
5.2,30.0,15.0,0.0,9.552,0.0,0.6,1.8122,13.967,0.00098702,6.4954,298.08,0.21438,0.068385
5.4,30.0,15.0,0.0,11.944,0.0,0.6,1.839,13.923,0.00098651,6.4821,298.08,0.22995,0.070228
5.6,30.0,15.0,0.0,19.592,0.0,0.6,1.8633,13.875,0.00098597,6.4792,298.09,0.24847,0.07213
5.8,30.0,15.0,0.0,28.416,0.0,0.6,1.8842,13.83,0.0009854,6.4876,298.09,0.26607,0.074088
6.0,30.0,15.0,0.0,33.855,0.0,0.6,1.9017,13.797,0.00098481,6.5015,298.08,0.2775,0.076105
6.2,30.0,15.0,0.0,33.741,0.0,0.6,1.915,13.745,0.00098423,6.5145,298.08,0.29452,0.078189
6.4,30.0,15.0,0.0,28.466,0.0,0.6,1.9241,13.692,0.00098366,6.5194,298.09,0.31348,0.080341
6.6,30.0,15.0,0.0,21.244,0.0,0.6,1.93,13.648,0.00098312,6.5144,298.09,0.32857,0.082563
6.8,30.0,15.0,0.0,16.017,0.0,0.6,1.9325,13.596,0.00098259,6.5012,298.09,0.34544,0.084854
7.0,30.0,15.0,0.0,16.096,0.0,0.6,1.931,13.527,0.00098207,6.4886,298.08,0.37052,0.087217
7.2,30.0,15.0,0.0,21.177,0.0,0.6,1.9253,13.455,0.00098153,6.482,298.08,0.39836,0.089656
7.4,30.0,15.0,0.0,28.898,0.0,0.6,1.9156,13.401,0.00098096,6.4855,298.08,0.41999,0.092166
7.6,30.0,15.0,0.0,35.196,0.0,0.6,1.9014,13.333,0.00098037,6.4951,298.08,0.444,0.094753
7.8,30.0,15.0,0.0,37.665,0.0,0.6,1.8833,13.276,0.00097977,6.5054,298.08,0.46436,0.097418
8.0,30.0,15.0,0.0,36.02,0.0,0.6,1.8607,13.222,0.00097918,6.5128,298.09,0.48107,0.10016
8.2,42.0,15.0,0.0,31.438,0.0,0.6,1.8336,13.331,0.00097861,6.5144,298.09,0.45819,0.11245
8.4,42.0,15.0,0.0,26.22,0.0,0.6,1.8006,13.254,0.00097805,6.5086,298.1,0.45132,0.11193
8.6,42.0,15.0,0.0,23.338,0.0,0.6,1.7627,13.191,0.00097751,6.4976,298.1,0.46919,0.11456
8.8,42.0,15.0,0.0,24.852,0.0,0.6,1.7182,13.112,0.00097695,6.488,298.11,0.49778,0.11765
9.0,42.0,15.0,0.0,30.166,0.0,0.6,1.6681,13.049,0.00097638,6.4845,298.12,0.51847,0.1209
9.2,42.0,15.0,0.0,36.871,0.0,0.6,1.6111,12.975,0.00097579,6.4847,298.12,0.54284,0.12427
9.4,42.0,15.0,0.0,43.504,0.0,0.6,1.5493,12.919,0.00097518,6.4889,298.13,0.56083,0.12773
9.6,42.0,15.0,0.0,48.433,0.0,0.6,1.4815,12.842,0.00097454,6.4957,298.14,0.58866,0.13129
9.8,42.0,15.0,0.0,50.664,0.0,0.6,1.4079,12.776,0.00097391,6.5042,298.15,0.60956,0.13495
10.0,42.0,15.0,0.0,49.499,0.0,0.6,1.3281,12.693,0.00097327,6.5089,298.15,0.6385,0.13871
10.2,42.0,15.0,0.0,46.488,0.0,0.6,1.2424,12.601,0.00097265,6.5082,298.15,0.672,0.14259
10.4,42.0,15.0,0.0,43.731,0.0,0.6,1.1493,12.516,0.00097204,6.5039,298.15,0.70032,0.1466
10.6,42.0,15.0,0.0,42.712,0.0,0.6,1.0486,12.41,0.00097143,6.498,298.14,0.73895,0.15074
10.8,42.0,15.0,0.0,44.043,0.0,0.6,0.94074,12.309,0.00097082,6.4931,298.14,0.7746,0.15501
11.0,42.0,15.0,0.0,47.308,0.0,0.6,0.82618,12.221,0.00097019,6.4917,298.14,0.80504,0.15942
11.2,42.0,15.0,0.0,51.125,0.0,0.6,0.70488,12.132,0.00096956,6.4931,298.12,0.8343,0.16396
11.4,42.0,15.0,0.0,54.39,0.0,0.6,0.57682,12.033,0.00096891,6.4942,298.08,0.86827,0.16861
11.6,42.0,15.0,0.0,57.231,0.0,0.6,0.44014,11.92,0.00096826,6.495,298.07,0.90697,0.17342
11.8,42.0,15.0,0.0,59.744,0.0,0.6,0.29866,11.855,0.0009676,6.4968,298.06,0.92745,0.17835
12.0,42.0,15.0,0.0,61.535,0.0,0.6,0.15862,11.835,0.00096693,6.5002,298.04,0.93728,0.18335
12.2,42.0,30.0,0.0,61.979,0.0,0.6,0.061676,11.966,0.00096622,6.5075,298.03,0.9102,0.18832
12.4,42.0,30.0,0.0,59.487,0.0,0.6,0.016875,12.564,0.00096551,6.5259,297.97,0.75194,0.19285
12.6,42.0,30.0,0.0,49.612,0.0,0.7,0.013954,13.538,0.00096484,6.5442,297.9,0.6053,0.1965
12.8,42.0,30.0,0.0,32.44,0.0,0.7,0.013902,13.51,0.00096422,6.5424,298.57,0.57759,0.19987
13.0,42.0,30.0,0.0,16.067,0.0,0.7,0.013506,13.478,0.00096365,6.5188,298.34,0.58194,0.20319
13.2,42.0,30.0,0.0,9.1289,0.0,0.7,0.013119,13.456,0.00096311,6.4876,298.17,0.58845,0.20651
13.4,42.0,30.0,0.0,14.632,0.0,0.7,0.012755,13.435,0.00096254,6.4656,298.07,0.59483,0.20981
13.6,42.0,30.0,0.0,28.896,0.0,0.7,0.012597,13.412,0.00096194,6.4611,298.0,0.59939,0.21311
13.8,42.0,30.0,0.0,44.921,0.0,0.7,0.012335,13.391,0.00096128,6.4736,297.95,0.60479,0.21641
14.0,42.0,30.0,0.0,55.961,0.0,0.7,0.012014,13.394,0.00096059,6.4955,297.93,0.60088,0.2197
14.2,42.0,30.0,0.0,58.23,0.0,0.7,0.011821,13.384,0.00095989,6.5191,298.4,0.60076,0.22296
14.4,42.0,30.0,0.0,51.089,0.0,0.7,0.011639,13.364,0.00095921,6.5331,298.25,0.60238,0.2262
14.6,42.0,30.0,0.0,38.386,0.0,0.7,0.011474,13.33,0.00095857,6.5335,298.15,0.6124,0.22945
14.8,42.0,30.0,0.0,25.554,0.0,0.7,0.01132,13.3,0.00095798,6.5197,298.1,0.62085,0.23268
15.0,42.0,30.0,0.0,18.234,0.0,0.7,0.011133,13.285,0.00095742,6.4993,298.06,0.61958,0.23592
15.2,42.0,30.0,0.0,19.05,0.0,0.7,0.011068,13.262,0.00095685,6.4821,298.04,0.62284,0.23916
15.4,42.0,30.0,0.0,26.733,0.0,0.7,0.01065,13.264,0.00095625,6.4761,298.02,0.61698,0.24239
15.6,42.0,30.0,0.0,36.776,0.0,0.7,0.010541,13.237,0.00095563,6.4847,298.01,0.62034,0.24562
15.8,42.0,30.0,0.0,43.376,0.0,0.7,0.010326,13.239,0.00095499,6.5022,298.0,0.61351,0.24884
16.0,42.0,30.0,0.0,42.986,0.0,0.7,0.0099612,13.238,0.00095435,6.5185,297.99,0.60975,0.25205
16.2,42.0,75.0,0.0,36.105,0.0,0.7,0.032322,12.221,0.00095358,6.507,298.07,0.88051,0.25594
16.4,42.0,75.0,0.0,33.93,0.0,0.7,0.031608,12.149,0.00095282,6.488,298.13,0.97308,0.26062
16.6,42.0,75.0,0.0,39.258,0.0,0.7,0.028842,12.134,0.00095204,6.4785,298.15,0.99052,0.26543
16.8,42.0,75.0,0.0,48.333,0.0,0.7,0.027508,12.074,0.00095123,6.479,298.16,1.0091,0.27028
17.0,42.0,75.0,0.0,57.203,0.0,0.7,0.025651,12.057,0.00095039,6.4866,298.16,1.0144,0.27513
17.2,42.0,75.0,0.0,63.043,0.0,0.7,0.0242,12.025,0.00094954,6.4974,298.15,1.0178,0.28
17.4,42.0,75.0,0.0,64.596,0.0,0.7,0.022999,11.99,0.00094868,6.5072,298.13,1.0263,0.28487
17.6,42.0,75.0,0.0,62.245,0.0,0.7,0.022262,11.932,0.00094784,6.5135,298.11,1.0437,0.28975
17.8,42.0,75.0,0.0,57.377,0.0,0.7,0.021035,11.901,0.000947,6.5164,298.1,1.0561,0.29463
18.0,42.0,75.0,0.0,51.333,0.0,0.7,0.020201,11.87,0.0009462,6.5156,298.09,1.0627,0.2995
18.2,42.0,75.0,0.0,45.631,0.0,0.7,0.019788,11.818,0.0009454,6.5092,298.08,1.0725,0.30438
18.4,42.0,75.0,0.0,42.505,0.0,0.7,0.018783,11.795,0.00094462,6.4998,298.08,1.0782,0.30927
18.6,42.0,75.0,0.0,43.102,0.0,0.7,0.018253,11.761,0.00094384,6.4919,298.07,1.0791,0.31416
18.8,42.0,75.0,0.0,46.877,0.0,0.7,0.01689,11.773,0.00094305,6.4885,298.04,1.0725,0.31904
19.0,42.0,75.0,0.0,51.989,0.0,0.7,0.016194,11.75,0.00094224,6.4897,298.02,1.0751,0.32388
19.2,42.0,75.0,0.0,56.609,0.0,0.7,0.015549,11.704,0.00094142,6.4951,298.0,1.086,0.32872
19.4,42.0,75.0,0.0,59.09,0.0,0.7,0.015077,11.689,0.00094059,6.5005,297.98,1.0818,0.33358
19.6,42.0,75.0,0.0,59.411,0.0,0.7,0.014782,11.643,0.00093977,6.5067,297.97,1.0886,0.33844
19.8,42.0,75.0,0.0,57.243,0.0,0.7,0.014799,11.569,0.00093895,6.5105,297.98,1.106,0.34335
20.0,42.0,75.0,0.0,53.583,0.0,0.7,0.014009,11.561,0.00093814,6.512,297.99,1.1091,0.34827
20.2,55.0,150.0,0.0,49.305,0.0,0.7,0.040175,10.832,0.00093711,6.4901,298.09,1.3617,0.36603
20.4,55.0,150.0,0.0,53.842,0.0,0.7,0.03929,10.71,0.00093607,6.4707,298.15,1.414,0.36697
20.6,55.0,150.0,0.0,66.062,0.0,0.7,0.035933,10.637,0.00093498,6.4605,298.19,1.4435,0.37348
20.8,55.0,150.0,0.0,82.37,0.0,0.7,0.032406,10.598,0.00093384,6.4575,298.19,1.4553,0.38038
21.0,55.0,150.0,0.0,99.876,0.0,0.7,0.032412,10.503,0.00093265,6.4567,298.18,1.475,0.38735
21.2,55.0,150.0,0.0,117.69,0.0,0.7,0.031898,10.423,0.00093141,6.4566,298.18,1.496,0.39444
21.4,55.0,150.0,0.0,135.58,0.0,0.7,0.029761,10.382,0.00093011,6.4573,298.15,1.5124,0.40159
21.6,55.0,150.0,0.0,153.19,0.0,0.7,0.029329,10.308,0.00092876,6.4581,298.12,1.5312,0.40879
21.8,55.0,150.0,0.0,170.48,0.0,0.7,0.02862,10.22,0.00092736,6.4584,298.11,1.5577,0.41609
22.0,55.0,150.0,0.0,187.64,0.0,0.7,0.027699,10.158,0.00092591,6.4585,298.08,1.5668,0.42349
22.2,55.0,150.0,0.0,204.76,0.0,0.7,0.026234,10.121,0.00092441,6.4587,298.05,1.5773,0.43094
22.4,55.0,150.0,0.0,221.81,0.0,0.7,0.024026,10.143,0.00092287,6.46,298.03,1.5656,0.43838
22.6,55.0,150.0,0.0,225.0,0.0,0.7,0.023738,10.058,0.00092132,6.4606,298.03,1.5837,0.44583
22.8,55.0,150.0,0.0,225.0,0.0,0.7,0.022694,10.007,0.00091977,6.4609,298.04,1.5963,0.45334
23.0,55.0,150.0,0.0,225.0,0.0,0.7,0.022348,9.9447,0.00091823,6.4609,298.05,1.6054,0.46089
23.2,55.0,150.0,0.0,225.0,0.0,0.7,0.021954,9.8749,0.00091668,6.4602,298.07,1.6124,0.46851
23.4,55.0,150.0,0.0,225.0,0.0,0.7,0.02004,9.887,0.00091515,6.4609,298.07,1.6118,0.47613
23.6,55.0,150.0,0.0,225.0,0.0,0.7,0.018598,9.889,0.00091362,6.4625,298.06,1.6063,0.48368
23.8,55.0,150.0,0.0,225.0,0.0,0.7,0.01769,9.8526,0.00091209,6.4643,298.05,1.6179,0.4912
24.0,55.0,150.0,0.0,225.0,0.0,0.7,0.017054,9.8146,0.00091056,6.4661,298.03,1.6293,0.49871
24.2,55.0,30.0,0.0,225.0,0.0,0.7,0.0031571,12.451,0.015465,6.5061,297.78,0.82523,0.50355
24.4,55.0,30.0,0.0,222.96,0.0,0.7,0.0031577,12.443,0.032763,6.5442,298.9,0.72351,0.50663
24.6,55.0,30.0,0.0,205.79,0.0,0.7,0.0031633,12.398,0.049979,6.5779,298.35,0.72841,0.5096
24.8,55.0,30.0,0.51743,102.9,0.0,0.7,0.0031719,12.267,0.067269,6.6036,298.01,0.76764,0.51257
25.0,55.0,30.0,1.0356,51.448,0.0,0.7,0.0031463,12.179,0.08488,6.6095,297.86,0.80397,0.51553
25.2,55.0,30.0,1.556,25.724,0.0,0.8,0.0031004,12.982,0.10275,6.5856,298.48,0.81174,0.51849
25.4,55.0,30.0,2.0793,12.862,0.0,0.8,0.0030286,12.963,0.12142,6.5439,298.26,0.80575,0.52142
25.6,55.0,30.0,0.0,0.0,0.0,0.8,0.0030267,12.911,0.14038,6.491,298.09,0.81502,0.52436
25.8,55.0,30.0,0.0,4.1396,0.0,0.8,0.0029292,12.931,0.16038,6.4502,297.99,0.79985,0.52727
26.0,55.0,30.0,0.0,24.529,0.0,0.8,0.002941,12.912,0.18051,6.4389,297.94,0.80387,0.53017
26.2,55.0,30.0,0.0,49.411,0.0,0.8,0.0029548,12.926,0.20077,6.4564,298.43,0.79236,0.53308
26.4,55.0,30.0,0.0,67.284,0.0,0.8,0.0029163,12.927,0.22149,6.4862,298.3,0.7945,0.53596
26.6,55.0,30.0,0.0,73.288,0.0,0.8,0.0029147,12.925,0.24241,6.5161,298.19,0.78745,0.53883
26.8,55.0,30.0,0.0,67.38,0.0,0.8,0.0029121,12.893,0.26351,6.5404,298.11,0.80059,0.54168
27.0,55.0,30.0,0.0,51.757,0.0,0.8,0.0028428,12.896,0.28543,6.5549,298.05,0.78604,0.54451
27.2,55.0,30.0,0.51926,25.878,0.0,0.8,0.0028138,12.87,0.30762,6.5397,298.02,0.77833,0.5473
27.4,55.0,30.0,0.0,10.631,0.0,0.8,0.0028371,12.802,0.3298,6.5036,298.01,0.79209,0.55012
27.6,55.0,30.0,0.0,9.7937,0.0,0.8,0.0028394,12.773,0.35212,6.4696,298.0,0.79781,0.55296
27.8,55.0,30.0,0.0,22.477,0.0,0.8,0.0028228,12.771,0.37468,6.4559,298.0,0.78485,0.55581
28.0,55.0,30.0,0.0,40.582,0.0,0.8,0.0028139,12.778,0.39754,6.4651,297.99,0.7771,0.55866
28.2,55.0,37.0,0.0,54.972,0.0,0.8,0.0033614,12.576,0.41529,6.485,298.01,0.82459,0.56175
28.4,55.0,37.0,0.0,61.453,0.0,0.8,0.0034163,12.541,0.43233,6.5076,298.02,0.83956,0.56498
28.6,55.0,37.0,0.0,58.922,0.0,0.8,0.0034402,12.508,0.44924,6.5267,298.03,0.8436,0.56825
28.8,55.0,37.0,0.0,48.79,0.0,0.8,0.0033848,12.493,0.46686,6.5376,298.03,0.84073,0.57151
29.0,55.0,37.0,0.0,34.278,0.0,0.8,0.0033433,12.463,0.48508,6.5334,298.03,0.84503,0.57474
29.2,55.0,37.0,0.0,21.475,0.0,0.8,0.0032459,12.448,0.50446,6.5124,298.03,0.84611,0.57793
29.4,55.0,37.0,0.0,17.098,0.0,0.8,0.0031725,12.406,0.52479,6.4872,298.03,0.86957,0.58109
29.6,55.0,37.0,0.0,22.769,0.0,0.8,0.0031034,12.41,0.54615,6.47,298.01,0.86707,0.5842
29.8,55.0,37.0,0.0,35.278,0.0,0.8,0.0030989,12.39,0.5677,6.4706,298.02,0.87555,0.5873
30.0,55.0,37.0,0.0,47.493,0.0,0.8,0.0030736,12.383,0.58969,6.4834,298.02,0.88243,0.59039
30.2,55.0,37.0,0.0,54.61,0.0,0.9,0.0030133,13.224,0.61246,6.5019,298.02,0.89123,0.59343
30.4,55.0,37.0,0.0,54.366,0.0,0.9,0.0029768,13.207,0.63558,6.5195,298.03,0.8897,0.59645
30.6,55.0,37.0,0.0,47.07,0.0,0.9,0.0030001,13.162,0.65872,6.529,298.02,0.89781,0.59947
30.8,55.0,37.0,0.0,36.029,0.0,0.9,0.0030202,13.116,0.68167,6.5256,298.02,0.90818,0.60251
31.0,55.0,37.0,0.0,26.347,0.0,0.9,0.0030642,13.045,0.70427,6.509,298.02,0.92839,0.60558
31.2,55.0,37.0,0.0,23.312,0.0,0.9,0.0030622,13.008,0.72684,6.4901,298.03,0.93402,0.60869
31.4,55.0,37.0,0.0,27.785,0.0,0.9,0.0030677,12.972,0.74975,6.48,298.03,0.94426,0.61181
31.6,55.0,37.0,0.0,36.295,0.0,0.9,0.0029728,12.98,0.77397,6.4817,298.02,0.94633,0.6149
31.8,55.0,37.0,0.0,44.114,0.0,0.9,0.0029235,12.99,0.79883,6.4932,298.02,0.94153,0.61794
32.0,55.0,37.0,0.0,47.313,0.0,0.9,0.0029235,12.968,0.82367,6.5059,298.01,0.94461,0.62096
32.2,55.0,43.0,0.0,45.487,0.0,0.9,0.0033777,12.755,0.84346,6.5146,298.03,0.99862,0.6242
32.4,55.0,43.0,0.0,40.182,0.0,0.9,0.0034045,12.7,0.86269,6.5151,298.05,1.021,0.62758
